,Name,"(540, 'De Excidio et Conquestu Britanniae')","(600, 'Book of Taliesin')","(650, 'Y Gododdin')","(721, 'The Ecclesiastical History of the English People')","(850, 'Historia Brittonum')","(950, 'Pa Gur yv y porthaur')","(970, 'Annales Cambriae')","(975, 'Harleian genealogies')","(1050, 'Culhwch and Olwen, Welsh Triads')","(1110, 'Culhwch ac Olwen')","(1134, 'Historia Regum Britanniae')","(1150, 'Vita Merlini')","(1170, 'Erec and Enide')","(1175, '1170s')","(1181, 'Perceval, the Story of the Grail')","(1200, 'Mabinogion')","(1210, 'Perlesvaus')","(1220, 'Daniel von Blumenthal')","(1225, 'Parzival')","(1230, 'Jaufré')","(1235, 'Prose Tristan')","(1240, 'Palamedes')","(1250, 'Morien')","(1275, 'Welsh Triads')","(1280, 'Girart')","(1300, 'Sir Gawain and the Green Knight')","(1470, ""Le Morte D'Arthur"")","(1584, 'Discovery of Witchcraft')","(1590, 'The Faerie Queene')","(1591, 'Farewell to Folly')","(1599, 'Tom a Lincoln part 1')","(1885, 'Idylls of the King')","(1903, 'King Arthur Meets Lady Guinevere')","(1905, 'The Life of Sir Aglovale de Galis')","(1958, 'The Once and Future King')"
75,Menw ap Tairgwaedd,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
76,Mabon ap Modron,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
77,Guinevak,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
78,Hueil mab Caw,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
79,Urien†,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
80,Eliwlod,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
81,Escanor the Large,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
82,Escanor the Handsome,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
83,"Green Knight, The",,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
84,Agravain†,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,True
85,Balan,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
86,Balin,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
87,Tom Thumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
88,Caelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,
89,Tom a Lincoln†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,
90,"Faerie Knight, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
91,Gareth†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,True
92,Dagonet†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
93,Lynette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
94,Lyonesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
95,Pelleas†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
96,Bruin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
97,Durnure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
98,Epinogres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
99,Aglovale†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True
100,Ban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
101,Bors the Elder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
102,Gaheris†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
103,Hector de Maris†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
104,Lionel†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
105,Pellinore†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
106,Ector†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
107,Elaine of Benoic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
108,Galahad†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
109,Black Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Bors the Younger†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Breunor le Noir†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Claudin†,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Dindrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
